0.675	0.051
0.587	0.049
0.502	0.048
0.441	0.048
0.4	0.048
0.377	0.05
0.366	0.052
0.364	0.054
0.367	0.057
0.373	0.061
0.38	0.065
0.387	0.068
0.395	0.07
0.409	0.071
0.433	0.071
0.473	0.07
0.538	0.068
0.584	0.042
0.504	0.04
0.425	0.039
0.368	0.038
0.33	0.039
0.307	0.04
0.295	0.042
0.291	0.044
0.291	0.046
0.294	0.049
0.297	0.052
0.3	0.055
0.305	0.056
0.314	0.056
0.33	0.055
0.36	0.054
0.41	0.052
0.659	0.079
0.551	0.074
0.439	0.07
0.353	0.069
0.289	0.07
0.244	0.071
0.213	0.072
0.193	0.075
0.182	0.078
0.179	0.078
0.188	0.072
0.206	0.063
0.231	0.053
0.261	0.046
0.292	0.042
0.326	0.042
0.364	0.045
